Similitud de la palabra "maquinaria"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 
jamie               : 0.319| mausoleo            : 0.319| zapatista           : 0.319| asignación          : 0.320| 
destinarán          : 0.318| canalicen           : 0.319| pensión             : 0.319| disponible          : 0.318| 
disponible          : 0.316| indeciso            : 0.316| salvación           : 0.317| agrónomo            : 0.316| 
unilateralmente     : 0.316| disponible          : 0.316| indeciso            : 0.316| autónoma            : 0.316| 
agrónomo            : 0.314| dudar               : 0.314| enriquecimiento     : 0.315| unilateralmente     : 0.316| 
autónoma            : 0.313| agrónomo            : 0.314| autónoma            : 0.314| pensión             : 0.313| 
enriquecimiento     : 0.311| autónoma            : 0.312| disponible          : 0.314| indeciso            : 0.312| 
indeciso            : 0.307| unilateralmente     : 0.309| unilateralmente     : 0.310| enriquecimiento     : 0.311| 
bancada             : 0.307| porcentaje          : 0.305| chauvet             : 0.310| dudar               : 0.310| 
porcentaje          : 0.306| enriquecimiento     : 0.305| bancada             : 0.307| chauvet             : 0.308| 
chauvet             : 0.303| bancada             : 0.303| atribuida           : 0.304| bancada             : 0.307| 
dudar               : 0.301| especialista        : 0.303| distribución        : 0.301| autobús             : 0.306| 
distribución        : 0.298| chauvet             : 0.301| dudar               : 0.301| atribuida           : 0.302| 
autobús             : 0.296| alemán              : 0.301| imparcial           : 0.300| porcentaje          : 0.301| 
atribuida           : 0.294| imparcial           : 0.298| autobús             : 0.299| distribución        : 0.301| 
politécnico         : 0.294| atribuida           : 0.297| politécnico         : 0.298| alemán              : 0.297| 
alemán              : 0.293| autobús             : 0.293| alemán              : 0.297| imparcial           : 0.296| 
salvaguardar        : 0.292| distribución        : 0.292| porcentaje          : 0.294| politécnico         : 0.293| 
imparcial           : 0.291| salvaguardar        : 0.292| homologar           : 0.292| lanzado             : 0.293| 
lanzado             : 0.291| presentación        : 0.291| presentación        : 0.291| corrige             : 0.292| 
equitativo          : 0.291| politécnico         : 0.291| salvaguardar        : 0.289| especialista        : 0.290| 
reflejo             : 0.290| reflejo             : 0.288| lanzado             : 0.287| salvaguardar        : 0.289| 
presentación        : 0.286| corrige             : 0.287| equitativo          : 0.287| reflejo             : 0.287| 
adenunciaron        : 0.284| equitativo          : 0.285| reflejo             : 0.287| presentación        : 0.287| 
homologar           : 0.283| lanzado             : 0.283| adenunciaron        : 0.285| adenunciaron        : 0.286| 
corrige             : 0.283| adenunciaron        : 0.281| corrige             : 0.285| errores             : 0.285| 
presupuestal        : 0.281| errores             : 0.281| congresos           : 0.281| equitativo          : 0.285| 
errores             : 0.277| congresos           : 0.277| presupuestal        : 0.280| homologar           : 0.281| 
apuntalar           : 0.277| locura              : 0.276| errores             : 0.278| presupuestal        : 0.279| 
congresos           : 0.277| bancaria            : 0.275| especialista        : 0.276| reacción            : 0.275| 
distribuir          : 0.277| presupuestal        : 0.274| bancaria            : 0.273| apuntalar           : 0.274| 
bancaria            : 0.275| homologar           : 0.274| russo               : 0.272| bancaria            : 0.273| 
especialista        : 0.275| insuficiencia       : 0.270| insuficiencia       : 0.270| distribuir          : 0.272| 
insuficiencia       : 0.273| distribuir          : 0.268| distribuir          : 0.270| russo               : 0.269| 
russo               : 0.270| reacción            : 0.265| privilegio          : 0.270| agua                : 0.269| 
locura              : 0.269| agua                : 0.264| apuntalar           : 0.268| privilegio          : 0.268| 
privilegio          : 0.265| russo               : 0.264| locura              : 0.265| insuficiencia       : 0.268| 
procesará           : 0.264| apuntalar           : 0.262| reacción            : 0.264| locura              : 0.267| 
enojo               : 0.262| palacio             : 0.260| difundir            : 0.262| palacio             : 0.264| 
agua                : 0.262| procesará           : 0.260| agua                : 0.261| congresos           : 0.263| 
difundir            : 0.257| privilegio          : 0.259| priísta             : 0.260| procesará           : 0.262| 
reacción            : 0.257| exteriores          : 0.258| procesará           : 0.260| difundir            : 0.257| 
priísta             : 0.255| priísta             : 0.257| enojo               : 0.258| enojo               : 0.256| 
palacio             : 0.252| enojo               : 0.251| palacio             : 0.258| pentágono           : 0.254| 
agustín             : 0.250| suficiente          : 0.250| agustín             : 0.255| exteriores          : 0.254| 
