Similitud de la palabra "abogado"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 
capitalización      : 0.147| centros             : 0.148| memorándum          : 0.148| irrupción           : 0.147| 
opep                : 0.147| riesgoso            : 0.148| intenso             : 0.147| solidaridad         : 0.147| 
religión            : 0.146| sustentar           : 0.148| riesgoso            : 0.147| suficiente          : 0.146| 
ensenada            : 0.145| ensenada            : 0.147| solidaridad         : 0.147| periódico           : 0.146| 
solidaridad         : 0.145| plantear            : 0.147| causa               : 0.146| ensenada            : 0.146| 
riesgoso            : 0.145| imponderable        : 0.145| ensenada            : 0.146| través              : 0.146| 
suficiente          : 0.145| capitalización      : 0.144| juez                : 0.146| religión            : 0.146| 
centros             : 0.144| tabú                : 0.144| discusión           : 0.145| gestación           : 0.145| 
presumiblemente     : 0.143| impugnación         : 0.144| centros             : 0.145| representativo      : 0.145| 
popular             : 0.142| juez                : 0.143| religión            : 0.144| tabú                : 0.145| 
imponderable        : 0.142| formulario          : 0.143| delictivo           : 0.144| presumiblemente     : 0.144| 
sustentar           : 0.141| wef                 : 0.143| opep                : 0.143| capitalización      : 0.144| 
semana              : 0.141| modelo              : 0.142| golfo               : 0.143| curul               : 0.144| 
postulante          : 0.141| representativo      : 0.142| representativo      : 0.142| mendoza             : 0.144| 
gestación           : 0.141| intenso             : 0.142| impugnación         : 0.142| opep                : 0.144| 
mendoza             : 0.140| popular             : 0.142| suficiente          : 0.141| plantear            : 0.144| 
ctm                 : 0.140| opep                : 0.141| plantear            : 0.141| intenso             : 0.144| 
intenso             : 0.140| superiores          : 0.141| capitalización      : 0.140| juez                : 0.142| 
impugnación         : 0.140| mendoza             : 0.141| tabú                : 0.139| semana              : 0.142| 
tabú                : 0.139| curul               : 0.139| curul               : 0.139| golfo               : 0.141| 
plantear            : 0.139| piloto              : 0.138| realizar            : 0.138| caber               : 0.140| 
irrupción           : 0.139| gestación           : 0.136| semana              : 0.137| causa               : 0.140| 
periódico           : 0.138| fred                : 0.136| modelo              : 0.137| formulario          : 0.138| 
curul               : 0.137| suficiente          : 0.136| distribución        : 0.137| reñido              : 0.138| 
sindical            : 0.137| semana              : 0.136| imponderable        : 0.136| distribución        : 0.137| 
industria           : 0.135| religión            : 0.136| irrupción           : 0.135| realizar            : 0.137| 
internet            : 0.134| reñido              : 0.135| formulario          : 0.135| impugnación         : 0.136| 
formulario          : 0.133| solidaridad         : 0.134| industria           : 0.135| modelo              : 0.135| 
distribución        : 0.133| septiembre          : 0.134| reñido              : 0.135| industria           : 0.135| 
modelo              : 0.133| extradición         : 0.134| mendoza             : 0.135| superiores          : 0.135| 
fred                : 0.132| ctm                 : 0.134| superiores          : 0.134| registrar           : 0.134| 
apertura            : 0.132| industria           : 0.133| popular             : 0.134| científica          : 0.133| 
reñido              : 0.131| postulante          : 0.132| sindical            : 0.134| ctm                 : 0.133| 
septiembre          : 0.131| realizar            : 0.132| predicción          : 0.133| beneficio           : 0.132| 
representativo      : 0.131| internet            : 0.131| científica          : 0.130| recabado            : 0.132| 
extradición         : 0.130| científica          : 0.131| septiembre          : 0.130| cliente             : 0.131| 
superiores          : 0.130| predicción          : 0.131| fundamentar         : 0.130| presupuestal        : 0.130| 
realizar            : 0.129| sindical            : 0.130| lft                 : 0.130| delictivo           : 0.129| 
fundamentar         : 0.129| empero              : 0.130| extradición         : 0.130| fred                : 0.129| 
delictivo           : 0.128| irrupción           : 0.129| eneromarzo          : 0.129| competitivas        : 0.129| 
científica          : 0.128| fértil              : 0.129| recabado            : 0.128| eneromarzo          : 0.129| 
presupuestal        : 0.128| distribución        : 0.129| beneficio           : 0.126| empero              : 0.128| 
criterio            : 0.127| delictivo           : 0.128| empero              : 0.126| predicción          : 0.128| 
lft                 : 0.125| recabado            : 0.127| muestra             : 0.125| intención           : 0.128| 
recabado            : 0.125| embargo             : 0.127| apertura            : 0.125| piloto              : 0.127| 
piloto              : 0.125| fundamentar         : 0.127| presupuestal        : 0.124| locales             : 0.126| 
muestra             : 0.125| locales             : 0.127| criterio            : 0.123| exacto              : 0.126| 
registrar           : 0.125| alvaro              : 0.127| incuria             : 0.123| lft                 : 0.125| 
transportó          : 0.124| beneficio           : 0.126| país                : 0.122| postulante          : 0.124| 
incuria             : 0.123| cliente             : 0.126| persecución         : 0.122| alvaro              : 0.123| 
eneromarzo          : 0.123| apertura            : 0.125| fértil              : 0.122| país                : 0.123| 
confederación       : 0.123| confederación       : 0.125| registrar           : 0.122| excluir             : 0.123| 
listado             : 0.123| presupuestal        : 0.124| locales             : 0.122| septiembre          : 0.123| 
país                : 0.123| eneromarzo          : 0.124| exacto              : 0.122| sustancial          : 0.123| 
justificación       : 0.123| país                : 0.123| internet            : 0.122| forzar              : 0.122| 
fundamento          : 0.122| exacto              : 0.123| fred                : 0.121| homologar           : 0.122| 
testimonio          : 0.122| torrijos            : 0.123| listado             : 0.121| fértil              : 0.122| 
registro            : 0.122| criterio            : 0.122| competitivas        : 0.121| ambigüedad          : 0.122| 
beneficio           : 0.122| lft                 : 0.120| piloto              : 0.120| listado             : 0.122| 
forzar              : 0.121| muestra             : 0.120| homologar           : 0.120| internet            : 0.122| 
evaluación          : 0.121| listado             : 0.120| intención           : 0.120| registro            : 0.121| 
embargo             : 0.121| incuria             : 0.120| confederación       : 0.119| siete               : 0.121| 
exacto              : 0.120| persecución         : 0.119| postulante          : 0.119| extradición         : 0.121| 
excluir             : 0.119| intención           : 0.119| registro            : 0.119| sindical            : 0.121| 
fértil              : 0.119| forzar              : 0.119| sustancial          : 0.119| confederación       : 0.121| 
homologar           : 0.119| testimonio          : 0.118| forzar              : 0.119| criterio            : 0.120| 
predicción          : 0.119| amparo              : 0.118| cliente             : 0.118| fundamentar         : 0.120| 
competitivas        : 0.119| homologar           : 0.118| alvaro              : 0.118| incuria             : 0.119| 
intención           : 0.119| registrar           : 0.117| factura             : 0.117| apertura            : 0.119| 
empero              : 0.119| justificación       : 0.117| excluir             : 0.117| muestra             : 0.119| 
sentar              : 0.117| registro            : 0.117| testimonio          : 0.117| embargo             : 0.118| 
mp                  : 0.117| desarrollo          : 0.117| mp                  : 0.117| válido              : 0.117| 
sólido              : 0.117| fotografía          : 0.116| material            : 0.115| mp                  : 0.117| 
fotografía          : 0.116| ensayada            : 0.116| embargo             : 0.115| determinar          : 0.117| 
locales             : 0.115| prueba              : 0.116| evaluación          : 0.114| persecución         : 0.116| 
cliente             : 0.115| sustancial          : 0.115| siete               : 0.114| conclusión          : 0.115| 
persecución         : 0.114| preocupar           : 0.115| marzo               : 0.114| predecir            : 0.115| 
sustancial          : 0.114| autobús             : 0.114| fundamento          : 0.113| testimonio          : 0.113| 
varios              : 0.114| negativo            : 0.114| preocupar           : 0.113| transportó          : 0.113| 
anterior            : 0.113| aprehensión         : 0.113| desarrollo          : 0.113| justificación       : 0.113| 
factura             : 0.113| profundidad         : 0.112| esgrimir            : 0.113| fundamento          : 0.112| 
preocupar           : 0.113| maltratado          : 0.112| predecir            : 0.112| habitualmente       : 0.112| 
conclusión          : 0.113| actuación           : 0.112| determinar          : 0.112| sonora              : 0.112| 
alvaro              : 0.113| material            : 0.112| nominación          : 0.111| prácticamente       : 0.111| 
ensayada            : 0.112| iniciativa          : 0.111| ambigüedad          : 0.111| preocupar           : 0.111| 
válido              : 0.112| determinar          : 0.111| justificación       : 0.111| sentar              : 0.110| 
determinar          : 0.112| ambigüedad          : 0.111| personalidad        : 0.111| material            : 0.110| 
material            : 0.112| prácticamente       : 0.111| anterior            : 0.111| quintana            : 0.110| 
nominación          : 0.112| competitivas        : 0.110| sentar              : 0.110| autobús             : 0.110| 
desarrollo          : 0.112| varios              : 0.110| transportó          : 0.110| roo                 : 0.109| 
autobús             : 0.111| transportó          : 0.110| prácticamente       : 0.110| nominación          : 0.109| 
sonora              : 0.111| respetar            : 0.109| válido              : 0.110| torrijos            : 0.109| 
angeles             : 0.111| russo               : 0.109| aprobación          : 0.109| iniciativa          : 0.109| 
expansión           : 0.110| integrante          : 0.109| iniciativa          : 0.109| profundidad         : 0.109| 
aprobación          : 0.110| fundamento          : 0.109| pasado              : 0.109| varios              : 0.109| 
profundidad         : 0.110| previsión           : 0.109| expansión           : 0.108| ensayada            : 0.108| 
pasado              : 0.110| pasado              : 0.109| profundidad         : 0.108| mesurable           : 0.108| 
iniciativa          : 0.110| conclusión          : 0.108| familiar            : 0.108| pasado              : 0.107| 
domingo             : 0.109| pasajero            : 0.108| ensayada            : 0.108| marzo               : 0.107| 
habitualmente       : 0.109| inerme              : 0.108| fotografía          : 0.108| fotografía          : 0.107| 
electricidad        : 0.109| válido              : 0.108| careo               : 0.107| expansión           : 0.107| 
prueba              : 0.109| excluir             : 0.108| sonora              : 0.107| sólido              : 0.107| 
inerme              : 0.109| nominación          : 0.107| característica      : 0.107| evaluación          : 0.106| 
representante       : 0.108| expansión           : 0.107| conclusión          : 0.107| maltratado          : 0.106| 
predecir            : 0.108| esgrimir            : 0.107| integrante          : 0.107| russo               : 0.106| 
ambigüedad          : 0.107| predecir            : 0.106| pronóstico          : 0.106| factura             : 0.106| 
competen            : 0.106| angeles             : 0.106| respetar            : 0.106| medio               : 0.106| 
familiar            : 0.105| dimensión           : 0.106| representante       : 0.106| desbordamiento      : 0.106| 
personalidad        : 0.105| factura             : 0.106| autobús             : 0.106| juzgar              : 0.105| 
mesurable           : 0.105| representante       : 0.106| desbordamiento      : 0.106| vigente             : 0.105| 
viernes             : 0.105| carter              : 0.106| difusión            : 0.106| espinosa            : 0.105| 
prácticamente       : 0.104| desbordamiento      : 0.106| varios              : 0.106| funcione            : 0.105| 
medio               : 0.104| evaluación          : 0.106| amparo              : 0.105| difusión            : 0.104| 
integrante          : 0.104| mp                  : 0.106| aprehensión         : 0.105| adenunciaron        : 0.104| 
esgrimir            : 0.104| sentar              : 0.106| inerme              : 0.105| dimensión           : 0.104| 
adenunciaron        : 0.104| sonora              : 0.105| previsión           : 0.105| previsión           : 0.104| 
respetar            : 0.103| electricidad        : 0.105| prueba              : 0.105| aprobación          : 0.104| 
pasajero            : 0.103| estipulan           : 0.105| área                : 0.104| jurídico            : 0.104| 
marzo               : 0.103| jurídico            : 0.105| adenunciaron        : 0.103| pasajero            : 0.103| 
aprehensión         : 0.103| sólido              : 0.104| maltratado          : 0.103| representante       : 0.103| 
característica      : 0.102| alternativa         : 0.104| destrozo            : 0.103| torno               : 0.103| 
careo               : 0.102| competen            : 0.104| torrijos            : 0.103| integrante          : 0.102| 
previsión           : 0.102| medio               : 0.102| causar              : 0.102| personalidad        : 0.102| 
desbordamiento      : 0.102| viernes             : 0.102| sólido              : 0.102| desarrollo          : 0.102| 
vuelta              : 0.102| empleado            : 0.102| dimensión           : 0.102| familiar            : 0.102| 
quintana            : 0.102| torno               : 0.102| jurídico            : 0.102| prueba              : 0.102| 
actuación           : 0.101| careo               : 0.102| variable            : 0.102| tonelada            : 0.102| 
torrijos            : 0.101| favorable           : 0.101| comunicación        : 0.101| económica           : 0.102| 
maltratado          : 0.101| adenunciaron        : 0.101| favorable           : 0.101| anterior            : 0.101| 
tonelada            : 0.101| mesurable           : 0.100| electricidad        : 0.101| corresponder        : 0.100| 
siete               : 0.101| funcione            : 0.100| vigente             : 0.101| inerme              : 0.100| 
pronóstico          : 0.100| característica      : 0.100| económica           : 0.101| careo               : 0.100| 
amparo              : 0.100| espinosa            : 0.100| competen            : 0.100| amparo              : 0.100| 
russo               : 0.100| marzo               : 0.100| comprendido         : 0.100| competen            : 0.100| 
alternativa         : 0.100| personalidad        : 0.100| polémica            : 0.100| característica      : 0.100| 
vigente             : 0.100| materia             : 0.100| tonelada            : 0.100| egreso              : 0.099| 
sufragio            : 0.099| reforma             : 0.099| habitualmente       : 0.099| estudios            : 0.099| 
microeconomía       : 0.099| habitualmente       : 0.099| quintana            : 0.099| angeles             : 0.099| 
dimensión           : 0.099| parte               : 0.099| actuación           : 0.099| esgrimir            : 0.099| 
rico                : 0.099| aprobación          : 0.099| mesurable           : 0.099| pronóstico          : 0.098| 
polémica            : 0.098| siete               : 0.098| medio               : 0.099| aprehensión         : 0.098| 
reforma             : 0.098| anterior            : 0.098| russo               : 0.098| votar               : 0.098| 
juzgar              : 0.098| familiar            : 0.098| egreso              : 0.098| negativo            : 0.098| 
parte               : 0.097| cuidadoso           : 0.098| alternativa         : 0.098| respetar            : 0.098| 
negativo            : 0.097| destrozo            : 0.098| pasajero            : 0.097| reforma             : 0.098| 
destrozo            : 0.097| rico                : 0.098| juzgar              : 0.097| microeconomía       : 0.097| 
votar               : 0.097| comprendido         : 0.097| roo                 : 0.096| domingo             : 0.096| 
económica           : 0.097| polémica            : 0.097| parte               : 0.096| fox                 : 0.096| 
materia             : 0.096| vigente             : 0.097| reforma             : 0.096| causar              : 0.096| 
funcione            : 0.096| economía            : 0.097| robar               : 0.096| parte               : 0.096| 
carter              : 0.096| reestructuración    : 0.096| votar               : 0.095| tejida              : 0.096| 
causar              : 0.096| todavía             : 0.095| estudios            : 0.095| arrestado           : 0.096| 
difusión            : 0.096| pronóstico          : 0.095| rico                : 0.094| actuación           : 0.096| 
egreso              : 0.096| juzgar              : 0.094| negativo            : 0.094| encargar            : 0.096| 
preventivo          : 0.095| roo                 : 0.094| viernes             : 0.094| rico                : 0.096| 
comprendido         : 0.095| egreso              : 0.094| estipulan           : 0.093| destrozo            : 0.095| 
roo                 : 0.095| domingo             : 0.094| angeles             : 0.093| anticipar           : 0.095| 
jurídico            : 0.095| económica           : 0.094| carter              : 0.093| reestructuración    : 0.095| 
estipulan           : 0.095| energía             : 0.094| roma                : 0.093| recorte             : 0.095| 
tejida              : 0.095| fox                 : 0.094| torno               : 0.093| materia             : 0.094| 
